ticket_id,created_at,channel,region,category,subcategory,priority,status,first_response_time_min,resolution_time_hours,csat_score,agent_team,sla_breached,ai_generated_summary
TCK-100001,2025-11-08 00:00:00,Phone,Mexico,Booking Issue,pricing mismatch,Medium,Pending,11,8.7,4.7,Guest Support,0,Ticket about pricing mismatch. Customer contacted via Phone in Mexico. Priority medium. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100002,2025-10-30 16:00:00,Email,US,Payment & Card,chargeback,Low,Resolved,228,16.98,2.9,Guest Support,1,Ticket about chargeback. Customer contacted via Email in US. Priority low. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100003,2025-10-10 01:00:00,WhatsApp,Mexico,Payment & Card,card declined,Medium,Resolved,48,15.69,3.2,Tier 1,1,Ticket about card declined. Customer contacted via WhatsApp in Mexico. Priority medium. Suggested root cause: card declined. Recommended action: standard troubleshooting.
TCK-100004,2025-11-24 11:00:00,Phone,Spain,Account Access,2fa issue,Low,Open,13,3.98,3.9,Payments Desk,0,Ticket about 2fa issue. Customer contacted via Phone in Spain. Priority low. Suggested root cause: 2fa issue. Recommended action: standard troubleshooting.
TCK-100005,2025-11-04 21:00:00,Email,Spain,Booking Issue,payment failure,High,Resolved,127,3.44,2.6,Tier 1,1,Ticket about payment failure. Customer contacted via Email in Spain. Priority high. Suggested root cause: payment failure. Recommended action: expedite specialist review.
TCK-100006,2026-03-06 19:00:00,WhatsApp,US,Payment & Card,card declined,Medium,Escalated,30,11.77,4.4,Guest Support,0,Ticket about card declined. Customer contacted via WhatsApp in US. Priority medium. Suggested root cause: card declined. Recommended action: standard troubleshooting.
TCK-100007,2026-02-01 10:00:00,Email,US,Payment & Card,card declined,High,Escalated,87,8.79,5.0,Tier 1,1,Ticket about card declined. Customer contacted via Email in US. Priority high. Suggested root cause: card declined. Recommended action: expedite specialist review.
TCK-100008,2025-12-19 11:00:00,Phone,Portugal,Booking Issue,payment failure,High,Resolved,7,7.8,3.2,Payments Desk,0,Ticket about payment failure. Customer contacted via Phone in Portugal. Priority high. Suggested root cause: payment failure. Recommended action: expedite specialist review.
TCK-100009,2026-01-30 06:00:00,Phone,US,Refund Request,refund denied,Medium,Resolved,8,18.24,2.7,Tier 2,1,Ticket about refund denied. Customer contacted via Phone in US. Priority medium. Suggested root cause: refund denied. Recommended action: standard troubleshooting.
TCK-100010,2025-11-25 18:00:00,Phone,Brazil,Cancellation,host cancellation,Medium,Resolved,10,8.68,4.0,Tier 1,0,Ticket about host cancellation. Customer contacted via Phone in Brazil. Priority medium. Suggested root cause: host cancellation. Recommended action: standard troubleshooting.
TCK-100011,2025-12-18 04:00:00,WhatsApp,Spain,Booking Issue,payment failure,Low,Escalated,38,15.33,4.2,Guest Support,1,Ticket about payment failure. Customer contacted via WhatsApp in Spain. Priority low. Suggested root cause: payment failure. Recommended action: standard troubleshooting.
TCK-100012,2026-01-16 09:00:00,WhatsApp,Portugal,Refund Request,refund denied,High,Pending,20,17.11,2.6,Tier 2,1,Ticket about refund denied. Customer contacted via WhatsApp in Portugal. Priority high. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100013,2025-12-30 09:00:00,Phone,Brazil,Refund Request,refund delay,Medium,Pending,10,13.69,2.6,Payments Desk,1,Ticket about refund delay. Customer contacted via Phone in Brazil. Priority medium. Suggested root cause: refund delay. Recommended action: standard troubleshooting.
TCK-100014,2025-12-14 20:00:00,WhatsApp,US,Refund Request,refund denied,High,Escalated,31,16.92,3.6,Tier 2,1,Ticket about refund denied. Customer contacted via WhatsApp in US. Priority high. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100015,2025-11-24 14:00:00,Email,Portugal,Account Access,2fa issue,Medium,Open,135,3.34,2.8,Guest Support,1,Ticket about 2fa issue. Customer contacted via Email in Portugal. Priority medium. Suggested root cause: 2fa issue. Recommended action: standard troubleshooting.
TCK-100016,2025-12-25 19:00:00,Email,Brazil,Payment & Card,card declined,High,Escalated,93,10.89,4.9,Payments Desk,1,Ticket about card declined. Customer contacted via Email in Brazil. Priority high. Suggested root cause: card declined. Recommended action: expedite specialist review.
TCK-100017,2025-11-08 01:00:00,Chat,Portugal,Check-in Problem,access code not working,Low,Resolved,24,3.62,4.4,Payments Desk,0,Ticket about access code not working. Customer contacted via Chat in Portugal. Priority low. Suggested root cause: access code not working. Recommended action: standard troubleshooting.
